language,file,time_min,time_max,time_avg
"Python 2.0",fib.py,3.577374,3.618148,3.60030366666667
"Python 3.0",fib.py,5.851453,5.949176,5.89327566666667
"Lua JIT",fib.lua,0.211572,0.212164,0.211773333333333
Lua,fib.lua,1.885556,2.072195,1.96114
Perl,fib_2.pl,7.199292,7.239853,7.21502433333333
Perl,fib.pl,8.502677,8.54111,8.52413833333333
Ruby,fib.rb,1.374055,1.456808,1.40613533333333
