language,file,time_min,time_max,time_avg
"C++ (g++ -O2)",mob2.cpp,5.615563,5.663022,5.64448
"Go (go)",mob.go,0.017163,0.017737,0.017458
"C (gcc -O0)",mob.c,0.00413,0.004226,0.00419333333333333
"C (gcc -Ofast)",mob.c,0.003234,0.003241,0.00323733333333333
"C (gcc -O2)",mob.c,0.003197,0.003245,0.00322166666666667
"C++ (g++ -Ofast)",mob.cpp,1.563152,1.575926,1.567669
"C++ (g++ -O0)",mob.cpp,4.510254,4.517279,4.514192
"C++ (g++ -O2)",mob.cpp,1.671606,1.685594,1.6775
"C (gcc -O0)",mob3.c,0.002747,0.002783,0.00276533333333333
"C (gcc -O2)",mob3.c,0.001675,0.001719,0.00169766666666667
"C (gcc -Ofast)",mob3.c,0.001578,0.001656,0.00160966666666667
"C (gcc -O0)",mob2.c,0.002586,0.002623,0.00261
"C (gcc -O2)",mob2.c,0.001704,0.001726,0.001715
"C (gcc -Ofast)",mob2.c,0.001654,0.001741,0.00168733333333333
"OCaml (ocamlopt)",mob.ml,0.00161,0.001735,0.00166033333333333
"Go (go)",mob2.go,0.016551,0.016865,0.0167026666666667
