language,file,time_min,time_max,time_avg
"C -O2",fib.c,0.454701,0.455221,0.454917
"C -Ofast",fib.c,0.510763,0.516047,0.512561333333333
"C -O0",fib.c,0.819227,0.821618,0.820094666666667
Go,fib.go,0.972189,0.97442,0.973183
"C++ -O2",fib.cpp,0.454161,0.460868,0.45755
"C++ -Ofast",fib.cpp,0.511842,0.512887,0.512422333333333
"C++ -O0",fib.cpp,0.841377,0.844102,0.842477333333333
