language,file,time_min,time_max,time_avg
"Go (go)",fib.go,0.969457,0.969457,0.969457
"C++ (g++ -Ofast)",fib.cpp,0.517753,0.517753,0.517753
"C++ (g++ -O2)",fib.cpp,0.460053,0.460053,0.460053
"C++ (g++ -O0)",fib.cpp,0.837772,0.837772,0.837772
"OCaml (ocamlopt)",fib.ml,0.590155,0.590155,0.590155
"C (gcc -O2)",fib.c,0.464293,0.464293,0.464293
"C (gcc -Ofast)",fib.c,0.518329,0.518329,0.518329
"C (gcc -O0)",fib.c,0.867048,0.867048,0.867048
